Date,Open,High,Low,Close,Adj Close,Volume
2015-12-09,133.210007,134.779999,131.509995,131.899994,118.049675,5055600
2015-12-10,131.960007,133.589996,131.800003,132.539993,118.622490,4185600
2015-12-11,132.539993,132.539993,130.309998,130.440002,116.742989,5300800
2015-12-14,131.089996,132.130005,130.710007,132.009995,118.148140,5960100
2015-12-15,132.619995,133.490005,131.190002,131.289993,117.503738,4921800
2015-12-16,132.169998,133.279999,130.360001,132.899994,118.944679,4711700
2015-12-17,133.059998,133.539993,131.000000,131.350006,117.557442,4345800
2015-12-18,130.729996,131.309998,130.009995,130.289993,116.608749,9840600
2015-12-21,131.000000,131.610001,130.179993,131.309998,117.521622,3414800
2015-12-22,131.369995,132.279999,130.460007,131.880005,118.031792,3401900
2015-12-23,132.490005,133.339996,131.880005,133.110001,119.132629,3244800
2015-12-24,132.800003,133.479996,132.660004,132.899994,118.944679,1517100
2015-12-28,132.250000,132.899994,131.889999,132.679993,118.747772,2607200
2015-12-29,133.369995,134.330002,133.279999,133.699997,119.660667,3037400
2015-12-30,133.580002,134.059998,133.279999,133.350006,119.347443,2484700
2015-12-31,133.080002,133.570007,132.240005,132.250000,118.362946,3178700
2016-01-04,130.110001,131.070007,129.449997,131.070007,117.306862,8050900
2016-01-05,131.149994,131.940002,130.050003,130.429993,116.734039,5320900
2016-01-06,129.000000,129.899994,128.559998,129.080002,115.525810,8199600
2016-01-07,126.930000,127.879997,124.699997,125.400002,112.232239,12551000
2016-01-08,126.440002,126.529999,123.500000,123.900002,110.889732,7104500
2016-01-11,124.870003,126.080002,124.089996,125.779999,112.572311,6811600
2016-01-12,126.779999,128.800003,125.830002,127.489998,114.102768,5695700
2016-01-13,127.470001,127.470001,120.970001,121.400002,108.652229,8932200
2016-01-14,121.290001,121.519997,118.199997,119.620003,107.059151,13389100
2016-01-15,117.120003,121.150002,116.099998,119.230003,106.710129,10515000
2016-01-19,120.540001,121.889999,118.800003,119.760002,107.184456,6350700
2016-01-20,117.889999,118.660004,113.589996,116.459999,104.230980,11331400
2016-01-21,117.379997,121.940002,117.139999,120.220001,107.596153,8993900
2016-01-22,121.639999,124.669998,121.580002,122.760002,109.869453,6554500
2016-01-25,123.379997,123.849998,121.559998,121.709999,108.929703,4854700
2016-01-26,121.730003,122.449997,120.639999,122.199997,109.368248,4475600
2016-01-27,122.459999,124.320000,120.860001,121.570000,108.804405,5431000
2016-01-28,121.970001,122.690002,120.309998,122.279999,109.439827,4871600
2016-01-29,123.169998,125.760002,122.750000,125.760002,112.554443,7616200
2016-02-01,124.919998,127.089996,123.989998,126.510002,113.225677,4674100
2016-02-02,125.410004,126.430000,124.709999,125.269997,112.115875,5832200
2016-02-03,126.019997,126.160004,121.540001,123.790001,110.791283,7485700
2016-02-04,123.650002,123.900002,119.449997,121.110001,108.392715,9171800
2016-02-05,120.889999,121.000000,115.690002,116.430000,104.204140,8117700
2016-02-08,114.930000,115.970001,109.620003,111.849998,100.105057,11286600
2016-02-09,110.940002,115.290001,110.680000,113.860001,101.904007,7572900
2016-02-10,114.500000,116.160004,114.050003,114.330002,102.324654,5307600
2016-02-11,113.080002,114.190002,112.220001,113.269997,101.375946,6447100
2016-02-12,114.879997,116.430000,113.519997,116.320000,104.105675,5361600
2016-02-16,118.120003,120.000000,117.699997,119.430000,106.889114,6966400
2016-02-17,120.449997,121.680000,119.870003,121.209999,108.482224,5970700
2016-02-18,120.930000,121.110001,119.559998,119.970001,107.372421,4460700
2016-02-19,119.820000,121.699997,118.750000,121.690002,108.911804,5435500
2016-02-22,123.000000,124.470001,122.129997,122.849998,109.949997,7796900
2016-02-23,127.000000,127.190002,123.349998,124.529999,111.453575,11168700
2016-02-24,124.050003,125.779999,122.919998,125.610001,112.420181,7935500
2016-02-25,125.760002,126.860001,124.889999,126.860001,113.538910,4738800
2016-02-26,127.589996,127.750000,125.930000,126.260002,113.001915,4608200
2016-02-29,126.260002,126.989998,124.050003,124.120003,111.086647,5575300
2016-03-01,124.779999,125.970001,123.980003,125.699997,112.500725,4916900
2016-03-02,125.480003,125.870003,124.459999,125.589996,112.402267,3967500
